// PatSize	  TextSize	  Naive-RT	    KMP-RT
     10000	    870000	      8683	      8332
    100000	    870000	     12693	      9536
        10	    880000	     11683	      8276
       100	    880000	      8401	      9415
      1000	    880000	      8772	      8247
     10000	    880000	      8680	      8055
    100000	    880000	     12463	      4868
        10	    890000	      9588	      8335
       100	    890000	      9278	      8344
      1000	    890000	      9163	      8668
     10000	    890000	      8611	      9638
    100000	    890000	     10306	      4723
        10	    900000	      8452	      8206
       100	    900000	     11100	      9020
      1000	    900000	     12815	      8311
     10000	    900000	      8564	      7441
    100000	    900000	     10664	      5003
        10	    910000	      8566	      8578
       100	    910000	      9381	      8560
      1000	    910000	      8794	      8865
     10000	    910000	      8863	      7471
    100000	    910000	     10747	      5016
        10	    920000	      8930	      8587
       100	    920000	      9271	      8711
      1000	    920000	      8858	      8579
     10000	    920000	      8863	     10896
    100000	    920000	     11740	      5055
        10	    930000	      9004	      8830
       100	    930000	      9099	      8687
      1000	    930000	      9010	      8636
     10000	    930000	      9117	      7710
    100000	    930000	     12092	      5053
        10	    940000	     10900	      8832
       100	    940000	      9886	      8854
      1000	    940000	      8934	      8866
     10000	    940000	      9116	     11042
    100000	    940000	     11016	      8584
        10	    950000	     11301	      8868
       100	    950000	     13012	      8941
      1000	    950000	     13478	      8850
     10000	    950000	     10996	      8073
    100000	    950000	     11051	      8451
        10	    960000	     10034	      9080
       100	    960000	      9243	      9041
      1000	    960000	      9095	      8918
     10000	    960000	      9311	      8051
    100000	    960000	     14402	      6342
        10	    970000	      9791	      9102
       100	    970000	      9233	      9309
      1000	    970000	     10623	     10615
     10000	    970000	      9377	      8102
    100000	    970000	     11261	      5171
        10	    980000	      9381	      9249
       100	    980000	     11252	      9374
      1000	    980000	     12248	      9190
     10000	    980000	      9440	      8283
    100000	    980000	     11423	      8421
        10	    990000	     10823	      9191
       100	    990000	      9376	      9991
      1000	    990000	      9350	      9117
     10000	    990000	      9786	      8185
    100000	    990000	     11687	      5345
        10	   1000000	      9655	     10442
       100	   1000000	      9698	      9354
      1000	   1000000	     10356	      9199
     10000	   1000000	      9644	      8258
    100000	   1000000	     11839	      5104
